x/a,n,m,gamma(kHz),gamma(cs/a),nu_ei(kHz),omega*/omega*_max,omega_plasma(kHz),omega_lab(kHz),omega_star_plasma(kHz),omega_star_lab(kHz),nu,eta,shat,beta,ky,mu,xstar
0.9783205549620968,5,27,-2529.9415366355906,-118.45297070378587,102.48869840711959,0.9737758661246285,0.0,-11.879499649195234,69.1832000132867,81.06269966248193,4.051030307341127,1.734577025257629,0.008105943385965984,0.0007298235716147572,0.05489757485377163,2.0541463712932084,9.616888475685034
0.974249706018881,6,32,5.2023314627725075,0.2200779238274179,81.08044500603818,0.9978974933028758,93.71071550469495,78.52098188168289,85.07634367240868,100.26607729542074,2.8128703976884655,1.9514974744140479,0.006990234856792339,0.0009991489646907763,0.07231405991048837,-0.582277711547714,9.616888475685034
0.9700789589420893,7,37,0.0,0.0,55.68638079695467,0.9342379343643307,92.92384517855493,74.85534995249292,92.92384517855493,110.99234040461694,2.025235563236658,2.3795099131060504,0.008002243767990554,0.00129891099607642,0.09181680769740802,-3.283399317893906,9.616888475685034
0.9796442052319768,7,38,1.5105593145425666,0.07328938719768757,107.39164739639598,0.9471663280752438,92.448582540638,76.30912154896137,94.20976604668765,110.34922703836426,3.0775824676844734,1.6998219256265186,0.00876479965732804,0.0006520064622617525,0.07445965803786862,2.9113885577384266,9.616888475685034
0.9769969046922168,8,43,3.831656832373109,0.17333343040724586,96.35481817632154,0.9911094354571259,117.84371309551882,98.3439706218761,112.66349835704033,132.16324083068304,2.383262856599972,1.78664560850087,0.007578735506889898,0.0008129931689584006,0.09061507605887188,1.196904184847991,9.616888475685034
0.974249706018881,9,48,5.6475642231740695,0.23891292160299327,81.08044500603818,0.9978974933028759,134.83540873819996,112.05080830368186,127.61451550861304,150.39911594313114,1.8752469317923104,1.9514974744140479,0.006990234856792339,0.0009991489646907763,0.10847108986573256,-0.582277711547714,9.616888475685034
0.9803185176336138,9,49,-4426.095939263478,-218.76880089357147,109.37478041986773,0.9302414116036205,0.0,-20.403724139500824,118.96242634594279,139.3661504854436,2.4711344245752658,1.6877507396673985,0.00915699437363288,0.000614623167718608,0.09418872504238465,3.348096841399176,9.616888475685034
0.9714525582787572,10,53,-4268.637065977611,-169.7821264414588,63.983693393031295,0.9646075732550589,0.0,-25.777226608249446,137.06365293365118,162.84087954190062,1.4989255915664883,2.2109465109154374,0.007352768476150591,0.0011996897148377106,0.12775578299905635,-2.3938083696960537,9.616888475685034
0.9783205549620968,10,54,-5059.883073271181,-236.90594140757173,102.48869840711959,0.9737758661246285,0.0,-23.758999298390467,138.3664000265734,162.12539932496387,2.0255151536705633,1.734577025257629,0.008105943385965984,0.0007298235716147572,0.10979514970754325,2.0541463712932084,9.616888475685034
0.9687802832056032,11,58,-3949.310926087931,-149.0929209200736,48.37130974438228,0.9001415674701644,0.0,-28.2980454501295,140.69385758231704,168.99190303244654,1.2248037860188803,2.5624912855793838,0.008965741758335751,0.0013916436607831182,0.14769963743776493,-4.124467123462843,9.616888475685034
0.9763225922905798,11,59,3.8565850899119583,0.17151703514720507,92.84624720208586,0.9963591872023897,159.6131623296046,132.49905731207824,155.73285653173946,182.8469615492658,1.6813931907191155,1.8202342306175738,0.007362632851471227,0.0008571730601590403,0.12655439518316683,0.7601959011872415,9.616888475685034
0.9807181101679172,11,60,-5357.482628834386,-267.76567868740455,110.39891355227464,0.9194206205794018,0.0,-24.6776286155969,143.70721064865333,168.38483926425022,2.0606490249375544,1.682364472358902,0.009407184294139443,0.0005932218620651929,0.11401222576269206,3.6068869354203983,9.616888475685034
0.974249706018881,12,64,4.762762263787894,0.20148251571409884,81.08044500603818,0.9978974933028758,174.71277997137446,144.33331272535034,170.15268734481737,200.5321545908415,1.4064351988442327,1.9514974744140479,0.006990234856792339,0.0009991489646907763,0.14462811982097673,-0.582277711547714,9.616888475685034
0.9791197400307036,12,65,-6028.7580899311915,-288.36542166652265,105.60541136212396,0.9587945350878296,0.0,-28.01279208162483,163.48519547508602,191.49798755671085,1.7516942923700771,1.7117557718583447,0.008487440125560098,0.0006821565156169019,0.1292641528250529,2.571726559335581,9.616888475685034
0.9721268706803942,13,69,1.2857549844584504,0.05187241267009702,68.10852703656431,0.9762639248784843,176.94885551563527,143.5214023218801,180.33591537700795,213.76336857076313,1.1857712880651508,2.13965313838315,0.007159364431679986,0.0011508999839076905,0.16385373063146447,-1.9571000860353045,9.616888475685034
0.97752136989349,13,70,0.7085939134312732,0.032489721407385076,98.924023230584,0.9853771894510189,178.49643324321335,147.1114250477388,182.0193217457985,213.40432994127303,1.5020020617537904,1.7636704170831956,0.007771877412388416,0.0007794455917890011,0.14545461433369594,1.5365661832508362,9.616888475685034
0.9809678555018568,13,71,-6289.461730707007,-316.5521087261874,110.98190075659058,0.9123866010161488,0.0,-28.968054873152727,168.53646711614786,197.5045219893006,1.7645691397523608,1.6796644026515515,0.009570332458938048,0.0005801333936157082,0.1339294424722209,3.768630744183644,9.616888475685034
0.9700789589420893,14,74,-5499.249747319142,-212.76201988947946,55.68638079695467,0.9342379343643307,0.0,-36.136990452124024,185.84769035710985,221.98468080923388,1.012617781618329,2.3795099131060504,0.008002243767990554,0.00129891099607642,0.18363361539481604,-3.283399317893906,9.616888475685034
0.9758980252228825,14,75,2.600630262461209,0.11444812888663175,90.55369790724178,0.9984929966886258,199.82148449569428,165.09070128493659,198.62993189052358,233.36071510128124,1.2962476966665353,1.8433249845397115,0.0072479712201113395,0.0008855475121832297,0.16264105669947146,0.48523142628973776,9.616888475685034
